cas operacie,cislo,index prvku,dlzka zoznamu,
8e-07,95,94,147,
7e-07,92,74,144,
9e-07,91,117,145,
2e-07,95,19,152,
4e-07,95,36,151,
7e-07,94,78,157,
1e-06,93,112,162,
8e-07,93,93,169,
3e-07,91,38,168,
1.1e-06,91,141,168,
1e-07,92,5,168,
3e-07,93,29,157,
1.2e-06,93,150,158,
1.1e-06,91,130,160,
5e-07,93,65,160,
2e-07,95,1,156,
8e-07,94,93,156,
1.1e-06,95,139,160,
1.3e-06,94,161,163,
7e-07,93,75,168,
7e-07,92,80,173,
1e-06,94,126,171,
1.1e-06,93,143,172,
1.1e-06,92,140,173,
1.1e-06,94,142,184,
3e-07,92,23,187,
8e-07,94,94,175,
1.1e-06,94,144,182,
9e-07,92,103,179,
1e-07,91,7,194,
7e-07,91,77,188,
6e-07,92,58,188,
4e-07,92,49,175,
1.2e-06,91,151,174,
5e-07,91,47,176,
9e-07,92,108,184,
9e-07,95,115,187,
1.4e-06,95,183,194,
1.4e-06,94,184,194,
8e-07,95,84,190,
1e-06,94,135,194,
6e-07,95,79,194,
6e-07,92,65,191,
9e-07,95,102,199,
1.2e-06,92,139,202,
4e-07,93,42,201,
1.3e-06,95,159,203,
1.2e-06,95,154,205,
9e-07,93,96,208,
4e-07,94,28,214,
4e-07,95,30,209,
3e-07,91,24,204,
8e-07,92,88,211,
2e-07,94,11,211,
1e-06,95,115,214,
4e-07,95,51,216,
3e-07,92,10,213,
1.1e-06,92,118,216,
1.5e-06,94,192,225,
6e-07,93,58,227,
8e-07,95,77,229,
9e-07,94,106,221,
1.2e-06,91,143,218,
3e-07,95,32,218,
1.3e-06,92,160,215,
3e-07,92,15,215,
1.2e-06,94,143,210,
9e-07,94,105,211,
2e-07,95,6,202,
1e-07,94,2,206,
1e-06,91,114,210,
7e-07,94,70,212,
1.3e-06,92,166,208,
1.5e-06,93,177,199,
1.5e-06,93,182,198,
2e-07,94,13,201,
7e-07,92,77,202,
1.4e-06,91,181,204,
1e-06,95,108,203,
1.2e-06,93,151,204,
1.4e-06,93,174,207,
4e-07,92,36,212,
1.2e-06,93,155,212,
1e-07,91,3,209,
1.1e-06,92,121,191,
8e-07,95,83,195,
1.5e-06,95,197,199,
9e-07,95,108,201,
1.3e-06,93,153,204,
4e-07,91,32,204,
2e-07,91,9,207,
1e-06,95,109,205,
1.4e-06,94,175,209,
2e-07,94,18,210,
1.1e-06,92,140,211,
1.1e-06,93,123,213,
3e-07,91,26,211,
6e-07,91,59,214,
7e-07,91,74,207,
9e-07,92,94,208,
5e-07,95,36,198,
7e-07,93,71,200,
1.6e-06,93,193,205,
1.5e-06,94,149,189,
1e-06,91,102,186,
1.2e-06,94,142,192,
1e-07,95,8,191,
1.5e-06,91,193,198,
1.1e-06,91,121,203,
1e-06,94,114,201,
7e-07,95,70,198,
7e-07,93,80,199,
1.5e-06,93,187,208,
4e-07,91,35,208,
1.2e-06,91,146,215,
8e-07,91,79,219,
3e-07,93,29,219,
1e-06,91,97,222,
1.2e-06,94,136,229,
1.7e-06,95,214,226,
1e-06,94,86,231,
1e-06,93,112,231,
8e-07,94,89,237,
8e-07,92,82,237,
6e-07,91,65,234,
1.5e-06,91,177,237,
1e-06,94,105,237,
1.5e-06,95,181,245,
8e-07,93,100,250,
5e-07,94,47,247,
5e-07,93,51,250,
1.5e-06,94,181,249,
1.5e-06,93,185,245,
1.7e-06,92,218,231,
4e-07,93,39,229,
7e-07,93,72,235,
1.5e-06,95,185,233,
7e-07,95,88,233,
2e-07,94,19,235,
1.8e-06,91,221,235,
1.4e-06,91,162,239,
1.4e-06,95,174,242,
1.6e-06,91,187,249,
6e-07,94,65,237,
1.6e-06,93,198,244,
1.3e-06,95,125,245,
6e-07,94,59,253,
3e-07,92,18,253,
5e-07,92,47,262,
6e-07,91,56,267,
1e-06,91,109,258,
1e-07,94,3,255,
1.5e-06,94,176,254,
2e-07,91,20,252,
1.7e-06,92,232,258,
1.3e-06,94,151,252,
1.2e-06,95,137,256,
1.6e-06,92,176,246,
1.5e-06,93,175,253,
1.7e-06,91,222,253,
1.6e-06,92,185,257,
1.7e-06,93,201,254,
2.2e-06,94,199,241,
1.1e-06,91,131,239,
1.8e-06,92,220,252,
1.8e-06,94,232,252,
1.5e-06,94,166,263,
5e-07,95,35,263,
9e-07,95,84,266,
7e-07,91,52,270,
5e-07,93,43,258,
7e-07,91,67,266,
9e-07,93,89,263,
1.7e-06,95,172,265,
1.6e-06,93,145,265,
9e-07,91,81,262,
2.1e-06,92,233,261,
2.2e-06,91,241,263,
1.5e-06,93,142,262,
1.8e-06,94,186,256,
3.2e-06,93,229,259,
1e-06,91,94,263,
1.6e-06,93,155,262,
1.7e-06,95,189,261,
1.8e-06,94,191,262,
1.5e-06,95,163,262,
1.2e-06,95,102,263,
2e-07,91,3,261,
8e-07,95,78,260,
1.6e-06,93,167,262,
1.5e-06,93,147,261,
1.7e-06,92,170,248,
2.2e-06,92,252,255,
2e-07,93,5,253,
8e-07,92,67,241,
2e-07,95,3,234,
2e-06,95,215,224,
7e-07,92,77,240,
1.1e-06,94,115,229,
4e-07,93,37,228,
8e-07,92,82,229,
9e-07,95,97,226,
8e-07,93,84,231,
4e-07,95,32,227,
1.1e-06,95,125,228,
4e-07,93,45,234,
1.6e-06,91,178,229,
1.5e-06,95,188,232,
1.8e-06,93,205,229,
1.7e-06,93,219,227,
1.4e-06,92,171,232,
1.3e-06,94,142,222,
1.3e-06,94,150,207,
1.6e-06,91,187,218,
1.2e-06,91,105,219,
1.2e-06,95,100,213,
1.3e-06,91,129,210,
1.1e-06,91,115,210,
6e-07,92,38,220,
1.8e-06,92,195,214,
1.3e-06,94,129,215,
1.4e-06,95,143,218,
